id,Country,Location
EBOV-REDC_GUI_2015_00494B--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_00545--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_00576--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_00589--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_01165--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_01285--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_01323--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_01408--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-REDC_GUI_2015_02242--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_000015-KR817067-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000027-KR817068-GIN-?,Guinea,Guinea
EBOV-EM_000028-KR817069-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000127-KR817070-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_000128-KR817071-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_000218-KR817072-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000219-KR817073-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000321-KR817074-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000457-KR817075-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000500-KR817076-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000501-KR817077-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000502-KR817078-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000706-KR817079-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_000707-KR817080-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_000921-KR817081-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000925-KR817082-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000934-KR817083-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_000958-KR817084-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_000968-KR817085-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000982-KR817086-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_000983-KR817087-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_001101-KR817088-GIN-Macenta,Guinea,Macenta - Guinea
EBOV-EM_001102-KR817089-GIN-Lola,Guinea,Lola - Guinea
EBOV-EM_004059-KR817090-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004085-KR817091-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004192-KR817092-GIN-Faranah,Guinea,Faranah - Guinea
EBOV-EM_004201-KR817093-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004259-KR817094-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004290-KR817095-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004414-KR817096-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004422-KR817097-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004437-KR817098-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004438-KR817099-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004481-KR817100-GIN-Faranah,Guinea,Faranah - Guinea
EBOV-EM_004494-KR817101-GIN-Faranah,Guinea,Faranah - Guinea
EBOV-EM_004503-KR817102-GIN-Faranah,Guinea,Faranah - Guinea
EBOV-EM_004555-KR817103-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004563-KR817104-GIN-Kissidougou,Guinea,Kissidougou - Guinea
EBOV-EM_004580-KR817105-GIN-Faranah,Guinea,Faranah - Guinea
EBOV-EM_004589-KR817106-GIN-Siguiri,Guinea,Siguiri - Guinea
EBOV-EM_074335-KR817107-?-?,-,-
EBOV-EM_074349-KR817108-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074350-KR817109-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074351-KR817110-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074352-KR817111-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074353-KR817112-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074354-KR817113-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_074391-KR817114-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074392-KR817115-LBR-?,Liberia,Liberia
EBOV-EM_074436-KR817116-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_074437-KR817117-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_074438-KR817118-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_074439-KR817119-GIN-Nzerekore,Guinea,Nzerekore - Guinea
EBOV-EM_074461-KR817120-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_074462-KR817121-?-?,-,-
EBOV-EM_074531-KR817122-GIN-Gueckedou,Guinea,Gueckedou - Guinea
EBOV-EM_074548-KR817123-LBR-Lofa,Liberia,Lofa - Liberia
EBOV-EM_074684-KR817124-GIN-Macenta,Guinea,Macenta - Guinea
